question,answer,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
Dữ liệu cá nhân nhạy cảm bao gồm những loại nào theo Nghị định 13/2023?,"Dữ liệu cá nhân nhạy cảm theo Nghị định 13/2023 bao gồm: quan điểm chính trị, quan điểm tôn giáo, tình trạng sức khỏe và đời tư được ghi trong hồ sơ bệnh án, thông tin liên quan đến nguồn gốc chủng tộc hoặc nguồn gốc dân tộc, thông tin về đặc điểm di truyền, thông tin sinh trắc học, thông tin về đời sống tình dục hoặc xu hướng tình dục, và dữ liệu về tội phạm.","Theo Điều 2 khoản 4 Nghị định 13/2023, dữ liệu cá nhân nhạy cảm bao gồm: quan điểm chính trị, quan điểm tôn giáo, tình trạng sức khỏe và đời tư được ghi trong hồ sơ bệnh án, thông tin liên quan đến nguồn gốc chủng tộc hoặc nguồn gốc dân tộc, thông tin về đặc điểm di truyền được thừa hưởng hoặc có được của cá nhân, thông tin về thuộc tính vật lý và đặc điểm sinh học đặc trưng của cá nhân (thông tin sinh trắc học), thông tin về đời sống tình dục hoặc xu hướng tình dục của cá nhân, dữ liệu về tội phạm và hành vi phạm tội được thu thập và lưu giữ bởi cơ quan thực thi pháp luật, thông tin khách hàng của tổ chức tín dụng.",1.0,0.8115351096950328,0.99999999995,1.0
Tổ chức nước ngoài chuyển dữ liệu cá nhân ra khỏi Việt Nam cần đáp ứng những điều kiện gì?,"Tổ chức nước ngoài chuyển dữ liệu cá nhân ra khỏi Việt Nam cần đáp ứng các điều kiện sau:

1. Cần có sự đồng ý của chủ thể.
2. Hoàn thành đánh giá tác động chuyển giao.
3. Nước tiếp nhận phải đảm bảo mức bảo vệ dữ liệu tương đương.
4. Thông báo Bộ Công an trước khi thực hiện chuyển giao.","Theo Điều 25 Nghị định 13/2023, việc chuyển dữ liệu cá nhân ra nước ngoài phải đáp ứng các điều kiện: được sự đồng ý của chủ thể dữ liệu; hoàn thành việc đánh giá tác động chuyển dữ liệu cá nhân ra nước ngoài; nước tiếp nhận dữ liệu phải bảo đảm mức độ bảo vệ dữ liệu cá nhân ít nhất bằng Việt Nam; thông báo cho Bộ Công an trước khi chuyển; lưu trữ hồ sơ chuyển dữ liệu trong ít nhất 5 năm.",0.8,0.8937590831697259,0.8333333332916666,0.8
Sự khác biệt giữa bên kiểm soát dữ liệu và bên xử lý dữ liệu trong Nghị định 13/2023 là gì?,"Bên kiểm soát dữ liệu cá nhân quyết định mục đích và phương tiện xử lý, trong khi bên xử lý dữ liệu thực hiện xử lý thay mặt bên kiểm soát theo hợp đồng hoặc thỏa thuận.","Theo Điều 2 Nghị định 13/2023, bên kiểm soát dữ liệu cá nhân là tổ chức hoặc cá nhân quyết định mục đích và phương tiện xử lý dữ liệu cá nhân. Bên xử lý dữ liệu cá nhân là tổ chức hoặc cá nhân thực hiện việc xử lý dữ liệu thay mặt cho bên kiểm soát, thông qua hợp đồng hoặc thỏa thuận. Hai bên có thể là cùng một tổ chức (bên kiểm soát và xử lý dữ liệu) hoặc là các tổ chức khác nhau. Bên kiểm soát chịu trách nhiệm chính về tuân thủ pháp luật, bên xử lý chịu trách nhiệm theo hợp đồng.",0.8,0.8560792189052225,0.8333333332916666,0.5
Chủ thể dữ liệu cá nhân có những quyền gì theo Nghị định 13/2023?,"Chủ thể dữ liệu cá nhân theo Nghị định 13/2023 có các quyền sau:

1. Được biết (Điều 8)
2. Đồng ý/không đồng ý (Điều 9)
3. Truy cập, chỉnh sửa (Điều 10)
4. Xóa (Điều 11)
5. Hạn chế xử lý (Điều 12)
6. Nhận bản sao (Điều 13)
7. Phản đối (Điều 14)
8. Khiếu nại, khởi kiện (Điều 15)
9. Bồi thường (Điều 16)
10. Tự bảo vệ.","Theo Chương III Nghị định 13/2023, chủ thể dữ liệu có các quyền: quyền được biết về hoạt động xử lý dữ liệu cá nhân của mình (Điều 8); quyền đồng ý hoặc không đồng ý cho phép xử lý dữ liệu (Điều 9); quyền truy cập để xem, chỉnh sửa dữ liệu cá nhân (Điều 10); quyền xóa dữ liệu cá nhân (Điều 11); quyền hạn chế xử lý dữ liệu cá nhân (Điều 12); quyền cung cấp dữ liệu cho chủ thể dữ liệu (Điều 13); quyền phản đối xử lý dữ liệu cá nhân (Điều 14); quyền khiếu nại, tố cáo, khởi kiện (Điều 15); quyền yêu cầu bồi thường thiệt hại (Điều 16); quyền tự bảo vệ (Điều 17).",0.9090909090909091,0.8452393830428137,0.9999999999,0.8
Nguyên tắc xử lý dữ liệu cá nhân theo Nghị định 13/2023 là gì?,Nguyên tắc xử lý dữ liệu cá nhân theo Nghị định 13/2023 bao gồm: xử lý theo pháp luật; chủ thể được biết; thu thập khi có đồng ý trừ luật định; dùng đúng mục đích; bảo mật trong xử lý; lưu trữ trong thời gian cần thiết; bên kiểm soát giải trình tuân thủ.,"Theo Điều 3 Nghị định 13/2023, các nguyên tắc xử lý dữ liệu cá nhân bao gồm: dữ liệu cá nhân được xử lý theo quy định của pháp luật; chủ thể dữ liệu được biết về hoạt động liên quan đến xử lý dữ liệu; dữ liệu chỉ được thu thập khi chủ thể dữ liệu đồng ý, trừ trường hợp luật định; dữ liệu chỉ được dùng đúng mục đích đã thông báo; dữ liệu được bảo vệ, bảo mật trong quá trình xử lý; dữ liệu chỉ lưu trữ trong thời gian cần thiết; bên kiểm soát dữ liệu phải có trách nhiệm giải trình về tuân thủ.",1.0,0.8469572227794372,0.5833333333041666,1.0
Quy trình đánh giá tác động xử lý dữ liệu cá nhân bao gồm những bước nào?,Không tìm thấy trong tài liệu.,"Theo Điều 24 Nghị định 13/2023, đánh giá tác động xử lý dữ liệu cá nhân phải được thực hiện khi bắt đầu xử lý dữ liệu cá nhân nhạy cảm, xử lý dữ liệu của trẻ em, hoặc xử lý dữ liệu quy mô lớn. Hồ sơ đánh giá tác động gồm: thông tin cơ bản về bên kiểm soát, mục đích xử lý, loại dữ liệu, biện pháp bảo vệ dữ liệu, đánh giá rủi ro và biện pháp giảm thiểu, ý kiến của Bộ phận bảo vệ dữ liệu cá nhân. Hồ sơ phải được lưu trữ và sẵn sàng cung cấp cho cơ quan có thẩm quyền khi yêu cầu.",0.0,0.0,0.99999999995,0.6666666666666666
Điều kiện hợp pháp để xử lý dữ liệu cá nhân mà không cần sự đồng ý của chủ thể là gì?,"Điều kiện hợp pháp để xử lý dữ liệu cá nhân mà không cần sự đồng ý của chủ thể bao gồm: thực hiện nhiệm vụ pháp luật; bảo vệ tính mạng/sức khỏe khẩn cấp; nghĩa vụ hợp đồng; lợi ích quốc gia, an ninh; nghiên cứu khoa học đúng quy định; quyền và nghĩa vụ pháp lý của bên kiểm soát.","Theo Điều 17 Nghị định 13/2023, xử lý dữ liệu cá nhân không cần sự đồng ý trong các trường hợp: thực hiện nhiệm vụ, quyền hạn theo quy định của pháp luật; bảo vệ tính mạng, sức khỏe của chủ thể dữ liệu trong tình huống khẩn cấp; thực hiện nghĩa vụ theo hợp đồng; phục vụ lợi ích quốc gia, an ninh quốc phòng; nghiên cứu khoa học khi tuân thủ quy định; thực hiện quyền và nghĩa vụ pháp lý của bên kiểm soát.",1.0,0.8498202240256333,0.99999999995,1.0
Bên kiểm soát dữ liệu có nghĩa vụ gì khi xảy ra sự cố lộ lọt dữ liệu cá nhân?,Không tìm thấy trong tài liệu.,"Theo Điều 23 Nghị định 13/2023, khi xảy ra vi phạm quy định về bảo vệ dữ liệu cá nhân, bên kiểm soát dữ liệu phải: thực hiện ngay các biện pháp ngăn chặn thiệt hại; thông báo cho Bộ Công an trong vòng 72 giờ kể từ khi phát hiện; thông báo cho chủ thể dữ liệu nếu sự cố ảnh hưởng đến quyền, lợi ích của họ; lưu trữ hồ sơ vi phạm và các biện pháp đã xử lý; phối hợp với cơ quan chức năng điều tra và khắc phục.",0.0,0.0,0.99999999995,1.0
Dữ liệu cá nhân của trẻ em được xử lý theo quy định đặc biệt nào?,Dữ liệu cá nhân của trẻ em được xử lý theo quy định đặc biệt bao gồm: cần đồng ý của cha mẹ/người giám hộ và trẻ đủ nhận thức; mục đích chính đáng vì lợi ích trẻ em; xác minh tuổi; hạn chế dữ liệu nhạy cảm trừ trường hợp đặc biệt; và thuận tiện thực hiện quyền.,"Theo Điều 20 Nghị định 13/2023, xử lý dữ liệu cá nhân của trẻ em phải tuân thủ: cần có sự đồng ý của cha mẹ hoặc người giám hộ hợp pháp, ngoài sự đồng ý của trẻ em đủ tuổi nhận thức; chỉ xử lý khi có mục đích chính đáng và vì lợi ích tốt nhất của trẻ em; áp dụng biện pháp kỹ thuật để xác minh tuổi; không được xử lý dữ liệu cá nhân nhạy cảm của trẻ em, trừ trường hợp đặc biệt; phải dễ dàng cho trẻ em và người giám hộ thực hiện quyền của mình.",1.0,0.8421751004938983,0.9999999999,1.0
"Theo Nghị định 13/2023, liệt kê các điều kiện chính khi chuyển dữ liệu cá nhân ra nước ngoài.","Theo Nghị định 13/2023, các điều kiện chính khi chuyển dữ liệu cá nhân ra nước ngoài bao gồm:

1. Cần có sự đồng ý của chủ thể dữ liệu.
2. Hoàn thành đánh giá tác động chuyển giao.
3. Nước tiếp nhận phải đảm bảo mức bảo vệ dữ liệu tương đương.
4. Thông báo Bộ Công an trước khi thực hiện chuyển dữ liệu.","Theo Chương V Nghị định 13/2023, Bộ Công an chịu trách nhiệm chính: ban hành tiêu chuẩn kỹ thuật về bảo vệ dữ liệu cá nhân; tiếp nhận hồ sơ đánh giá tác động và chuyển dữ liệu ra nước ngoài; xử lý khiếu nại về bảo vệ dữ liệu cá nhân; thanh tra, kiểm tra việc tuân thủ. Các bộ, ngành quản lý lĩnh vực có trách nhiệm ban hành quy định chuyên ngành về bảo vệ dữ liệu cá nhân. UBND cấp tỉnh chịu trách nhiệm tuyên truyền, phổ biến và xử lý vi phạm tại địa phương.",1.0,0.8388752749353946,0.49999999995,0.6666666666666666
