question,ground_truth,contexts,evolution_type
Dữ liệu cá nhân nhạy cảm bao gồm những loại nào theo Nghị định 13/2023?,"Theo Điều 2 khoản 4 Nghị định 13/2023, dữ liệu cá nhân nhạy cảm bao gồm: quan điểm chính trị, quan điểm tôn giáo, tình trạng sức khỏe và đời tư được ghi trong hồ sơ bệnh án, thông tin liên quan đến nguồn gốc chủng tộc hoặc nguồn gốc dân tộc, thông tin về đặc điểm di truyền được thừa hưởng hoặc có được của cá nhân, thông tin về thuộc tính vật lý và đặc điểm sinh học đặc trưng của cá nhân (thông tin sinh trắc học), thông tin về đời sống tình dục hoặc xu hướng tình dục của cá nhân, dữ liệu về tội phạm và hành vi phạm tội được thu thập và lưu giữ bởi cơ quan thực thi pháp luật, thông tin khách hàng của tổ chức tín dụng.","[""Tài sản ngắn hạn gồm tiền và tương đương tiền, đầu tư tài chính ngắn hạn, phải thu ngắn hạn, hàng tồn kho và tài sản ngắn hạn khác. Con số cụ thể phải đọc tại Bảng cân đối kế toán tại ngày lập báo cáo.""]",simple
Tổ chức nước ngoài chuyển dữ liệu cá nhân ra khỏi Việt Nam cần đáp ứng những điều kiện gì?,"Theo Điều 25 Nghị định 13/2023, việc chuyển dữ liệu cá nhân ra nước ngoài phải đáp ứng các điều kiện: được sự đồng ý của chủ thể dữ liệu; hoàn thành việc đánh giá tác động chuyển dữ liệu cá nhân ra nước ngoài; nước tiếp nhận dữ liệu phải bảo đảm mức độ bảo vệ dữ liệu cá nhân ít nhất bằng Việt Nam; thông báo cho Bộ Công an trước khi chuyển; lưu trữ hồ sơ chuyển dữ liệu trong ít nhất 5 năm.","[""Vốn chủ sở hữu gồm vốn góp/cổ phần, thặng dư, các quỹ, lợi nhuận sau thuế chưa phân phối và điều chỉnh khác. Tổng vốn chủ sở hữu bằng tổng tài sản trừ tổng nợ phải trả.""]",simple
Sự khác biệt giữa bên kiểm soát dữ liệu và bên xử lý dữ liệu trong Nghị định 13/2023 là gì?,"Theo Điều 2 Nghị định 13/2023, bên kiểm soát dữ liệu cá nhân là tổ chức hoặc cá nhân quyết định mục đích và phương tiện xử lý dữ liệu cá nhân. Bên xử lý dữ liệu cá nhân là tổ chức hoặc cá nhân thực hiện việc xử lý dữ liệu thay mặt cho bên kiểm soát, thông qua hợp đồng hoặc thỏa thuận. Hai bên có thể là cùng một tổ chức (bên kiểm soát và xử lý dữ liệu) hoặc là các tổ chức khác nhau. Bên kiểm soát chịu trách nhiệm chính về tuân thủ pháp luật, bên xử lý chịu trách nhiệm theo hợp đồng.","[""Nợ phải trả dài hạn gồm các khoản đáo hạn trên 12 tháng: vay dài hạn, trái phiếu, dự phòng phải trả dài hạn, doanh thu chưa thực hiện dài hạn và khoản khác.""]",simple
Chủ thể dữ liệu cá nhân có những quyền gì theo Nghị định 13/2023?,"Theo Chương III Nghị định 13/2023, chủ thể dữ liệu có các quyền: quyền được biết về hoạt động xử lý dữ liệu cá nhân của mình (Điều 8); quyền đồng ý hoặc không đồng ý cho phép xử lý dữ liệu (Điều 9); quyền truy cập để xem, chỉnh sửa dữ liệu cá nhân (Điều 10); quyền xóa dữ liệu cá nhân (Điều 11); quyền hạn chế xử lý dữ liệu cá nhân (Điều 12); quyền cung cấp dữ liệu cho chủ thể dữ liệu (Điều 13); quyền phản đối xử lý dữ liệu cá nhân (Điều 14); quyền khiếu nại, tố cáo, khởi kiện (Điều 15); quyền yêu cầu bồi thường thiệt hại (Điều 16); quyền tự bảo vệ (Điều 17).","[""Doanh thu thuần là doanh thu sau giảm trừ (chiết khấu, giảm giá, trả lại) và thuế gián thu. Lợi nhuận sau thuế TNDN là chỉ tiêu cuối cùng, cơ sở cho EPS và cổ tức.""]",simple
Nguyên tắc xử lý dữ liệu cá nhân theo Nghị định 13/2023 là gì?,"Theo Điều 3 Nghị định 13/2023, các nguyên tắc xử lý dữ liệu cá nhân bao gồm: dữ liệu cá nhân được xử lý theo quy định của pháp luật; chủ thể dữ liệu được biết về hoạt động liên quan đến xử lý dữ liệu; dữ liệu chỉ được thu thập khi chủ thể dữ liệu đồng ý, trừ trường hợp luật định; dữ liệu chỉ được dùng đúng mục đích đã thông báo; dữ liệu được bảo vệ, bảo mật trong quá trình xử lý; dữ liệu chỉ lưu trữ trong thời gian cần thiết; bên kiểm soát dữ liệu phải có trách nhiệm giải trình về tuân thủ.","[""Ghi nhận theo giá gốc; đánh giá theo giá trị thuần có thể thực hiện khi thấp hơn. Phương pháp tính giá có thể là bình quân gia quyền, FIFO hoặc phương pháp phù hợp từng loại. Chi tiết trong Thuyết minh BCTC.""]",simple
Quy trình đánh giá tác động xử lý dữ liệu cá nhân bao gồm những bước nào?,"Theo Điều 24 Nghị định 13/2023, đánh giá tác động xử lý dữ liệu cá nhân phải được thực hiện khi bắt đầu xử lý dữ liệu cá nhân nhạy cảm, xử lý dữ liệu của trẻ em, hoặc xử lý dữ liệu quy mô lớn. Hồ sơ đánh giá tác động gồm: thông tin cơ bản về bên kiểm soát, mục đích xử lý, loại dữ liệu, biện pháp bảo vệ dữ liệu, đánh giá rủi ro và biện pháp giảm thiểu, ý kiến của Bộ phận bảo vệ dữ liệu cá nhân. Hồ sơ phải được lưu trữ và sẵn sàng cung cấp cho cơ quan có thẩm quyền khi yêu cầu.","[""Luồng tiền từ hoạt động kinh doanh phản ánh thu chi cốt lõi. Yếu tố: lợi nhuận trước thuế; khấu hao/dự phòng; biến động vốn lưu động; lãi vay và thuế đã nộp. Dương: tạo tiền; âm: cảnh báo thanh khoản.""]",simple
Điều kiện hợp pháp để xử lý dữ liệu cá nhân mà không cần sự đồng ý của chủ thể là gì?,"Theo Điều 17 Nghị định 13/2023, xử lý dữ liệu cá nhân không cần sự đồng ý trong các trường hợp: thực hiện nhiệm vụ, quyền hạn theo quy định của pháp luật; bảo vệ tính mạng, sức khỏe của chủ thể dữ liệu trong tình huống khẩn cấp; thực hiện nghĩa vụ theo hợp đồng; phục vụ lợi ích quốc gia, an ninh quốc phòng; nghiên cứu khoa học khi tuân thủ quy định; thực hiện quyền và nghĩa vụ pháp lý của bên kiểm soát.","[""Tài liệu tóm tắt nội bộ phục vụ RAG. Nguồn: các điều khoản chính của Nghị định 13/2023/NĐ-CP.""]",simple
Bên kiểm soát dữ liệu có nghĩa vụ gì khi xảy ra sự cố lộ lọt dữ liệu cá nhân?,"Theo Điều 23 Nghị định 13/2023, khi xảy ra vi phạm quy định về bảo vệ dữ liệu cá nhân, bên kiểm soát dữ liệu phải: thực hiện ngay các biện pháp ngăn chặn thiệt hại; thông báo cho Bộ Công an trong vòng 72 giờ kể từ khi phát hiện; thông báo cho chủ thể dữ liệu nếu sự cố ảnh hưởng đến quyền, lợi ích của họ; lưu trữ hồ sơ vi phạm và các biện pháp đã xử lý; phối hợp với cơ quan chức năng điều tra và khắc phục.","[""Dữ liệu cá nhân nhạy cảm bao gồm: quan điểm chính trị, quan điểm tôn giáo, tình trạng sức khỏe và đời tư được ghi trong hồ sơ bệnh án, thông tin liên quan đến nguồn gốc chủng tộc hoặc nguồn gốc dân tộc, thông tin về đặc điểm di truyền, thông tin sinh trắc học, thông tin về đời sống tình dục hoặc xu hướng tình dục, dữ liệu về tội phạm do cơ quan thực thi pháp luật lưu giữ, thông tin khách hàng của tổ chức tín dụng.""]",simple
Dữ liệu cá nhân của trẻ em được xử lý theo quy định đặc biệt nào?,"Theo Điều 20 Nghị định 13/2023, xử lý dữ liệu cá nhân của trẻ em phải tuân thủ: cần có sự đồng ý của cha mẹ hoặc người giám hộ hợp pháp, ngoài sự đồng ý của trẻ em đủ tuổi nhận thức; chỉ xử lý khi có mục đích chính đáng và vì lợi ích tốt nhất của trẻ em; áp dụng biện pháp kỹ thuật để xác minh tuổi; không được xử lý dữ liệu cá nhân nhạy cảm của trẻ em, trừ trường hợp đặc biệt; phải dễ dàng cho trẻ em và người giám hộ thực hiện quyền của mình.","[""Bên kiểm soát dữ liệu cá nhân quyết định mục đích và phương tiện xử lý. Bên xử lý dữ liệu thực hiện xử lý thay mặt bên kiểm soát theo hợp đồng hoặc thỏa thuận. Hai vai trò có thể trùng một tổ chức.""]",simple
"Theo Nghị định 13/2023, liệt kê các điều kiện chính khi chuyển dữ liệu cá nhân ra nước ngoài.","Theo Chương V Nghị định 13/2023, Bộ Công an chịu trách nhiệm chính: ban hành tiêu chuẩn kỹ thuật về bảo vệ dữ liệu cá nhân; tiếp nhận hồ sơ đánh giá tác động và chuyển dữ liệu ra nước ngoài; xử lý khiếu nại về bảo vệ dữ liệu cá nhân; thanh tra, kiểm tra việc tuân thủ. Các bộ, ngành quản lý lĩnh vực có trách nhiệm ban hành quy định chuyên ngành về bảo vệ dữ liệu cá nhân. UBND cấp tỉnh chịu trách nhiệm tuyên truyền, phổ biến và xử lý vi phạm tại địa phương.","[""Xử lý dữ liệu cá nhân gồm các hoạt động: thu thập, ghi, phân tích, xác nhận, lưu trữ, chỉnh sửa, công khai, kết hợp, truy cập, truy xuất, thu hồi, mã hóa, giải mã, sao chép, chia sẻ, truyền đưa, cung cấp, chuyển giao, xóa, hủy hoặc hành động liên quan.""]",simple
